ID,obrorgan,pinadleg,code,name_code,stroka,name_stroka,datee,vypusk,tk,tk_spec,tk__month,Indivpred,samozan,teach,army_priz,army_contr,decret,neformal,szn,no_motiv,drugoe,smert,nakazan,pereezd,uxod,inostran,inoe,will_trud,will_individpred,will_samozan,will_army_priz,will_army_contract,will_teach
26,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,15.02.08,Технология машиностроения,1,Всего,44835,14,4,1,1,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,15.02.08,Технология машиностроения,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,15.02.08,Технология машиностроения,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,15.02.08,Технология машиностроения,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,15.02.08,Технология машиностроения,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,1,Всего,44835,17,5,2,5,0,0,0,3,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.01,Организация перевозок и управление на транспорте (по видам),1,Всего,44835,36,28,21,18,0,0,0,2,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.01,Организация перевозок и управление на транспорте (по видам),2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.01,Организация перевозок и управление на транспорте (по видам),3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.01,Организация перевозок и управление на транспорте (по видам),4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.01,Организация перевозок и управление на транспорте (по видам),5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,1,Всего,44835,26,15,14,14,0,1,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.06,Техническая эксплуатация подвижного состава железных дорог,1,Всего,44835,38,19,16,16,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.06,Техническая эксплуатация подвижного состава железных дорог,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.06,Техническая эксплуатация подвижного состава железных дорог,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.06,Техническая эксплуатация подвижного состава железных дорог,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,23.02.06,Техническая эксплуатация подвижного состава железных дорог,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,38.02.04,Коммерция (по отраслям),1,Всего,44835,22,10,5,7,0,0,0,2,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,38.02.04,Коммерция (по отраслям),2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,38.02.04,Коммерция (по отраслям),3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,38.02.04,Коммерция (по отраслям),4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,38.02.04,Коммерция (по отраслям),5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,39.02.01,Социальная работа,1,Всего,44835,26,15,7,7,0,0,1,0,0,1,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
57,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,39.02.01,Социальная работа,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,39.02.01,Социальная работа,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,39.02.01,Социальная работа,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,39.02.01,Социальная работа,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,43.02.06,Сервис на транспорте (по видам транспорта),1,Всего,44835,22,14,0,6,0,0,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,43.02.06,Сервис на транспорте (по видам транспорта),2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,43.02.06,Сервис на транспорте (по видам транспорта),3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,43.02.06,Сервис на транспорте (по видам транспорта),4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,43.02.06,Сервис на транспорте (по видам транспорта),5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.01,Дошкольное образование,1,Всего,44835,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.01,Дошкольное образование,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.01,Дошкольное образование,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.01,Дошкольное образование,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.01,Дошкольное образование,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.06,Профессиональное обучение (по отраслям),1,Всего,44835,11,9,9,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.06,Профессиональное обучение (по отраслям),2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.06,Профессиональное обучение (по отраслям),3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.06,Профессиональное обучение (по отраслям),4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,44.02.06,Профессиональное обучение (по отраслям),5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,46.02.01,Документационное обеспечение управления и архивоведение,1,Всего,44835,18,11,3,11,0,0,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
77,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,46.02.01,Документационное обеспечение управления и архивоведение,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,46.02.01,Документационное обеспечение управления и архивоведение,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,46.02.01,Документационное обеспечение управления и архивоведение,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,46.02.01,Документационное обеспечение управления и архивоведение,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,49.02.01,Физическая культура,1,Всего,44835,10,5,2,4,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,49.02.01,Физическая культура,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,49.02.01,Физическая культура,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,49.02.01,Физическая культура,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,ГАПОУ СО Алапаевский многопрофильный техникум,Министерство образования и молодежной политики,49.02.01,Физическая культура,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,09.02.01,Компьютерные системы и комплексы,1,Всего,44835,18,6,4,6,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,09.02.01,Компьютерные системы и комплексы,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,09.02.01,Компьютерные системы и комплексы,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,09.02.01,Компьютерные системы и комплексы,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,09.02.01,Компьютерные системы и комплексы,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,1,Всего,44835,13,7,7,6,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,2,лица с ОВЗ,44835,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,3,из ОВЗ: инвалиды и дети-инвалиды,44835,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,19.02.10,Технология продукции общественного питания,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,1,Всего,44835,28,13,10,10,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,2,лица с ОВЗ,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,3,из ОВЗ: инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,4,Инвалиды и дети-инвалиды,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,23.02.03,Техническое обслуживание и ремонт автомобильного транспорта,5,Имеют договор о целевом обучении,44835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,ГАПОУ СО Артемовский колледж точного приборостроения,Министерство образования и молодежной политики,13.01.10,Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям),1,Всего,44835,11,5,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
